identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
hostile-attribution-scene2-q2-ans3,"theory-of-mind, Stories",take care of my knee,curar mi rodilla,Mein Knie verarzten.,,,,,,cuidar do meu joelho
hostile-attribution-scene3-instruct1,"theory-of-mind, Stories",Imagine that you are working on an assignment at your desk. ,Imagina que estás trabajando en una tarea en tu escritorio.,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. ",,,,,,Imagine que você está trabalhando em uma tarefa na sua mesa.
hostile-attribution-scene3-instruct2,"theory-of-mind, Stories","You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du selbst dort bist.",,,,,,"Você vai apontar seu lápis e, ao caminhar de volta para sua mesa, há um menino caminhando bem na sua frente. O menino passa por sua mesa antes de você chegar lá."
hostile-attribution-scene3-instruct3,"theory-of-mind, Stories","The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.",,,,,,"A próxima coisa que você sabe, o menino derrubou todos os seus papéis da mesa, e eles estão todos espalhados no chão."
hostile-attribution-scene3-q1,"theory-of-mind, Stories",Do you think the boy knocked your papers onto the floor on purpose or by accident?,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?",,,,,,Você acha que o menino derrubou seus papéis no chão de propósito ou por acidente?
hostile-attribution-scene3-q2,"theory-of-mind, Stories",Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,,,,,,Agora escolha uma das três opções como a que você faria:
hostile-attribution-scene3-q2-ans1,"theory-of-mind, Stories",call him a name,insultar al niño,ihn beleidigen,,,,,,insultar o menino
hostile-attribution-scene3-q2-ans2,"theory-of-mind, Stories",pick up the papers,recoger los papeles,die Papiere aufsammeln,,,,,,recolher os papéis
hostile-attribution-scene3-q2-ans3,"theory-of-mind, Stories",do nothing,no hacer nada,nichts tun,,,,,,não fazer nada
hostile-attribution-scene1-by-accident,"theory-of-mind, Stories",by accident,por accidente,aus Versehen,,,,,,por acidente
hostile-attribution-scene1-on-purpose,"theory-of-mind, Stories",on purpose,a propósito,absichtlich,,,,,,de propósito
hostile-attribution-scene2-by-accident,"theory-of-mind, Stories",by accident,por accidente,aus Versehen,,,,,,por acidente
hostile-attribution-scene2-on-purpose,"theory-of-mind, Stories",on purpose,a propósito,absichtlich,,,,,,de propósito
hostile-attribution-scene3-by-accident,"theory-of-mind, Stories",by accident,por accidente,aus Versehen,,,,,,por acidente
hostile-attribution-scene3-on-purpose,"theory-of-mind, Stories",on purpose,a propósito,absichtlich,,,,,,de propósito
same-different-selection-instruct1,"same-different-selection, Same & Different","This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.","Este es el juego de parejas. En este juego, vas a elegir conjuntos de cartas que se parecen de alguna manera. Primero, veamos algunas de las cartas que vas a ver.","Jetzt spielen wir ein Spiel, bei dem es darum geht, Karten auszuwählen, die auf irgendeine Art zusammenpassen. Lass uns mal schauen, wie die Karten aussehen, die du in dem Spiel sehen wirst. ",,,,,,"Este é o jogo de combinação. Neste jogo, você vai escolher conjuntos de cartas que combinam de alguma forma. Primeiro, vamos ver algumas das cartas que você vai ver."
same-different-selection-touch-circle,"same-different-selection, Same & Different",Choose the card with a circle.,Escoge la carta que tiene un círculo.,Wähle die Karte mit einem Kreis.,,,,,,Escolha a carta com um círculo.
same-different-selection-touch-square,"same-different-selection, Same & Different",Choose the card with a square.,Escoge la carta que tiene un cuadrado.,Wähle die Karte mit einem Quadrat. ,,,,,,Escolha o cartão com um quadrado.
same-different-selection-touch-triangle,"same-different-selection, Same & Different",Choose the card with a triangle.,Escoge la carta que tiene un triángulo.,Wähle die Karte mit einem Dreieck.,,,,,,Escolha o cartão com um triângulo.
same-different-selection-touch-star,"same-different-selection, Same & Different",Choose the card with a star.,Escoge la carta que tiene una estrella.,Wähle die Karte mit einem Stern.,,,,,,Escolha o cartão com uma estrela.
same-different-selection-touch-green,"same-different-selection, Same & Different",Choose the card with a green shape.,Escoge la carta que tiene una figura verde.,Wähle die Karte mit einer grünen Form.,,,,,,Escolha o cartão com uma forma verde.
same-different-selection-touch-red,"same-different-selection, Same & Different",Choose the card with a red shape.,Escoge la carta que tiene una figura roja.,Wähle die Karte mit einer roten Form.,,,,,,Escolha o cartão com uma forma vermelha.
same-different-selection-touch-blue,"same-different-selection, Same & Different",Choose the card with a blue shape.,Escoge la carta que tiene una figura azul.,Wähle die Karte mit einer blauen Form.,,,,,,Escolha o cartão com uma forma azul.
same-different-selection-touch-yellow,"same-different-selection, Same & Different",Choose the card with a yellow shape.,Escoge la carta que tiene una figura amarilla.,Wähle die Karte mit einer gelben Form.,,,,,,Escolha o cartão com uma forma amarela.
same-different-selection-touch-small,"same-different-selection, Same & Different",Choose the card with a small shape.,Escoge la carta que tiene una figura pequeña.,Wähle die Karte mit einer kleinen Form.,,,,,,Escolha o cartão com uma forma pequena.
same-different-selection-touch-medium,"same-different-selection, Same & Different",Choose the card with a medium-sized shape.,Escoge la carta que tiene una figura mediana.,Wähle die Karte mit einer mittelgroßen Form.,,,,,,Escolha o cartão com uma forma de tamanho médio.
same-different-selection-touch-large,"same-different-selection, Same & Different",Choose the card with a large shape.,Escoge la carta que tiene una figura grande.,Wähle die Karte mit einer großen Form.,,,,,,Escolha o cartão com uma forma grande.
same-different-selection-touch-white,"same-different-selection, Same & Different",Choose the star on the white card.,Escoge la estrella en la carta blanca.,Wähle den Stern auf der weißen Karte.,,,,,,Escolha a estrela no cartão branco.
same-different-selection-touch-gray,"same-different-selection, Same & Different",Choose the star on the gray card.,Escoge la estrella en la carta gris.,Wähle den Stern auf der grauen Karte.,,,,,,Escolha a estrela no cartão cinza.
same-different-selection-touch-black,"same-different-selection, Same & Different",Choose the star on the black card.,Escoge la estrella en la carta negra.,Wähle den Stern auf der schwarzen Karte.,,,,,,Escolha a estrela no cartão preto.
same-different-selection-touch-striped,"same-different-selection, Same & Different",Choose the star on the striped card.,Escoge la estrella en la carta con rayas.,Wähle den Stern auf der gestreiften Karte.,,,,,,Escolha a estrela no cartão listrado.
same-different-selection-touch-1,"same-different-selection, Same & Different",Choose the card with 1 star.,Escoge la carta con 1 estrella.,Wähle die Karte mit einem Stern.,,,,,,Escolha o cartão com 1 estrela.
same-different-selection-touch-2,"same-different-selection, Same & Different",Choose the card with 2 stars.,Escoge la carta con 2 estrellas.,Wähle die Karte mit zwei Sternen.,,,,,,Escolha o cartão com 2 estrelas.
same-different-selection-touch-3,"same-different-selection, Same & Different",Choose the card with 3 stars.,Escoge la carta con 3 estrellas.,Wähle die Karte mit drei Sternen.,,,,,,Escolha o cartão com 3 estrelas.
same-different-selection-touch-4,"same-different-selection, Same & Different",Choose the card with 4 stars.,Escoge la carta con 4 estrellas.,Wähle die Karte mit vier Sternen.,,,,,,Escolha o cartão com 4 estrelas.
same-different-selection-instruct2,"same-different-selection, Same & Different",Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,Ahora vas a ver dos cartas que son iguales de alguna manera. Luego vas a ver una nueva carta que se parece a una de esas cartas. Tu trabajo es elegir la carta que se parece en algo a esa nueva carta.,"Jetzt siehst du zwei Karten, die in einer Hinsicht gleich sind. Dann siehst du eine neue Karte, die einer der ersten beiden Karten ähnlich ist. Deine Aufgabe ist es, die Karte zu wählen, die der neuen Karte ähnlich ist.",,,,,,"Agora você vai ver dois cartões que são iguais de alguma maneira. Depois, você verá um novo cartão que é semelhante a um desses cartões. Sua tarefa é escolher o cartão que é semelhante ao novo cartão."
same-different-selection-instruct3,"same-different-selection, Same & Different","Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way.","Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver las mismas tres cartas, pero  vas a escoger otras dos cartas que sean iguales de alguna otra manera.","Jetzt siehst du drei Karten und wählst zwei aus, die auf irgendeine Weise gleich sind. Dann siehst du dieselben Karten noch einmal und wählst zwei Karten aus, die auf eine andere Weise gleich sind.",,,,,,Agora você verá três cartões e escolherá dois que são iguais de alguma maneira. Depois você verá os mesmos cartões novamente e escolherá dois cartões que são semelhantes de uma maneira diferente.
same-different-selection-both-circles,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have circles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen círculos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Kreise.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm círculos.
same-different-selection-both-squares,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have squares.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen cuadrados.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Quadrate.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm quadrados.
same-different-selection-both-triangles,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have triangles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen triángulos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Dreiecke.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm triângulos.
same-different-selection-both-red,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have red shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras rojas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas vermelhas.
same-different-selection-both-green,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have green shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras verdes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen grüne Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas verdes.
same-different-selection-both-yellow,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have yellow shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras amarillas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen gelbe Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas amarelas.
same-different-selection-both-blue,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have blue shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras azules.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen blaue Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas azuis.
same-different-selection-both-small,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have small shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras pequeñas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen kleine Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas pequenas.
same-different-selection-both-medium,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have medium-sized shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras medianas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen mittelgroße Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas de tamanho médio.
same-different-selection-both-large,"same-different-selection, Same & Different",Here are two cards. Something's the same. They both have large shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras grandes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen große Formen.,,,,,,Aqui estão dois cartões. Algo é igual. Ambos têm formas grandes.
sds-prompt3,"same-different-selection, Same & Different",Here is another card. Which of these is similar to this one?,Aquí hay otra carta. ¿Cuál de estas tiene algo que es igual a esta?,Hier ist eine weitere Karte. Welche Karte sieht dieser ähnlich? ,,,,,,Aqui está outro cartão. Qual destes é semelhante a este?
