identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
ToM-scene2-q4-false_belief,"theory-of-mind, Stories",Should Ethan get in trouble with the teacher for taking Hannah's book?,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",Should Ethan get in trouble with the teacher for taking Hannah's book?,Should Ethan get in trouble with the teacher for taking Hannah's book?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",Should Ethan get in trouble with the teacher for taking Hannah's book?,Should Ethan get in trouble with the teacher for taking Hannah's book?,
ToM-scene2-q5-reality_check,"theory-of-mind, Stories",Can you help Hannah find her book? Is it on the shelf or under the coats?,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Can you help Hannah find her book? Is it on the shelf or under the coats?,Can you help Hannah find her book? Is it on the shelf or under the coats?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Can you help Hannah find her book? Is it on the shelf or under the coats?,Can you help Hannah find her book? Is it on the shelf or under the coats?,
ToM-scene2-q6-reality_check,"theory-of-mind, Stories",Can you help Ethan find his book? Is it on the shelf or under the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Can you help Ethan find his book? Is it on the shelf or under the coats?,Can you help Ethan find his book? Is it on the shelf or under the coats?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Can you help Ethan find his book? Is it on the shelf or under the coats?,Can you help Ethan find his book? Is it on the shelf or under the coats?,
ToM-scene3-instruct1,"theory-of-mind, Stories","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ",
ToM-scene3-instruct2,"theory-of-mind, Stories","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ",
ToM-scene3-instruct3,"theory-of-mind, Stories","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",
ToM-scene3-instruct4,"theory-of-mind, Stories","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.",
ToM-scene3-q1,"theory-of-mind, Stories",What did Joshua mean to draw?,¿Qué quería dibujar Johan?,Was wollte Johann zeichnen?,What did Joshua mean to draw?,What did Joshua mean to draw?,Was wollte Johann zeichnen?,What did Joshua mean to draw?,What did Joshua mean to draw?,
fountain,"theory-of-mind, Stories",A fountain,Una fuente,Einen Springbrunnen,A fountain,A fountain,Einen Springbrunnen,A fountain,A fountain,
tree,"theory-of-mind, Stories",A tree,Un árbol,Einen Baum,A tree,A tree,Einen Baum,A tree,A tree,
ToM-scene3-q2-false_belief,"theory-of-mind, Stories","When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ","When Isabel and Ivan see this clue, where will they look first for Joshua? ","When Isabel and Ivan see this clue, where will they look first for Joshua? ","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ","When Isabel and Ivan see this clue, where will they look first for Joshua? ","When Isabel and Ivan see this clue, where will they look first for Joshua? ",
ToM-scene3-q2-reality_check,"theory-of-mind, Stories",Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",Can you help them find where Joshua really is?,Can you help them find where Joshua really is?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",Can you help them find where Joshua really is?,Can you help them find where Joshua really is?,
behind-fountain,"theory-of-mind, Stories",Behind the fountain,Detrás de la fuente,Hinter dem Springbrunnen,Behind the fountain,Behind the fountain,Hinter dem Springbrunnen,Behind the fountain,Behind the fountain,
behind-tree,"theory-of-mind, Stories",Behind the tree,Detrás del árbol,Hinter dem Baum,Behind the tree,Behind the tree,Hinter dem Baum,Behind the tree,Behind the tree,
ToM-scene3-q3-emotion_reasoning,"theory-of-mind, Stories","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",
ToM-scene4-instruct1,"theory-of-mind, Stories","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",
